StarID,ProperName,X,Y,Z
805,,170.32465,7.40512,25.71364
806,,101.60059,4.41814,96.29895
807,,95.32429,4.14871,-207.99179
808,,146.40009,6.38202,-71.07574
809,,8781258.5826,383731.28039,-4768883.30847
810,,564.82019,24.72807,548.0583
811,,97.62926,4.27812,19.25363
812,,10.04987,0.44044,-73.66576
813,,46.61883,2.0444,-92.7669
814,,95.57253,4.19495,100.42381
815,,138.82361,6.09356,-625.7833
816,,96.36799,4.23055,-15.23333
817,,17.09356,0.75181,-88.03886
818,,64.15558,2.82258,923.69633
819,,181.41607,7.98372,120.37273
820,,13.16837,0.57996,128.69283
821,,72.27821,3.18344,57.37317
822,,288.80694,12.72507,136.02105
823,,152.12577,6.71581,186.75177
824,,222.1023,9.80598,240.98214
825,,126.5191,5.58607,-68.29767
826,,213.6716,9.4423,177.24497
827,,194.78356,8.61623,-52.88935
828,,63.10836,2.79212,-305.05456
829,,76.88555,3.4089,-88.98214
830,,8351671.1177,370813.90277,-5487448.09462
831,,153.91229,6.83654,-56.02465
832,,90.24818,4.0094,190.65079
833,,229.38615,10.23295,109.65203
834,,445.63222,19.91454,773.43985
835,,230.01717,10.31561,283.16787
836,,205.21184,9.20579,265.35051
837,,62.34359,2.80329,-179.57944
838,,54.71941,2.46425,-5.03167
839,,213.90343,9.63913,222.28871
840,,239.25522,10.80477,-100.5246
841,,342.94283,15.49343,115.86677
842,,93.35926,4.22128,-104.31642
843,,150.28121,6.81077,-142.87234
844,,71.64575,3.24802,-17.86053
845,,96.34613,4.36826,-20.12354
846,,50.44602,2.29148,82.37144
847,,303.79892,13.8159,-32.17662
848,,174.98428,7.96725,-103.09419
849,,156.78314,7.14556,-40.44932
850,,240.17234,10.9545,131.37057
851,,68.42344,3.12425,-233.46893
852,,129.80839,5.93645,31.42472
853,,336.73249,15.41367,430.09203
854,,74.65987,3.42082,20.35065
855,,83.07453,3.80665,128.8712
856,,176.48496,8.12238,115.30663
857,,86.00641,3.96968,111.46511
858,,303.8497,14.03359,519.97671
859,,218.12835,10.10658,-190.61438
860,,48.23416,2.23789,-56.10085
861,,80.512,3.7371,-162.6094
862,,1448.58574,67.26787,439.0427
863,,19.14426,0.88929,-63.57521
864,,108.09652,5.02481,160.77229
865,,62.55735,2.90957,14.25134
866,,342.99463,15.95697,13.79502
867,,110.88151,5.16964,26.08227
868,,54.8501,2.5576,1.97074
869,,330.17233,15.4278,470.15192
870,,132.75854,6.20712,-185.64031
871,,63.51319,2.97088,-14.18887
872,,141.08409,6.62391,226.19132
873,,97.96462,4.60406,-78.76479
874,,116.87999,5.49783,169.25294
875,,319.6971,15.03827,527.83244
876,,266.26226,12.52667,-107.33659
877,,30.07181,1.41533,-101.68149
878,,90.08558,4.2406,69.1363
879,,174.39071,8.20931,-121.61347
880,,343.43918,16.17596,216.8719
881,,69.09985,3.2557,-108.52803
882,,215.19203,10.15028,267.73046
883,,222.09776,10.47925,255.8755
884,,214.75598,10.13522,127.5819
885,,430.93722,20.49465,-106.78922
886,,193.70978,9.21971,-117.51774
887,,40.54333,1.93537,45.25427
888,,724.86,34.60566,-659.20345
889,,293.55487,14.01546,629.19169
890,,276.51093,13.21948,-10.02746
891,,209.01425,10.00858,-70.31126
892,,97.41684,4.66607,126.83921
893,,68.96151,3.31956,39.14212
894,,103.54417,5.0012,25.36761
895,,25.35717,1.22623,-2.57153
896,,40.90082,1.97798,3.73287
897,,1089.87257,52.70732,-209.68453
898,,275.96425,13.36898,19.96503
899,,8951388.98067,434468.63433,4436651.02554
900,,120.85163,5.87446,190.56769
901,,10.218,0.49736,-226.52648
902,,118.48695,5.76947,-15.35689
903,,89.759,4.37255,105.39261
904,,256.99402,12.52471,-14.93201
905,,247.62904,12.15294,26.84825
906,,376.10593,18.4701,70.71629
907,,234.96394,11.55467,32.84491
908,,18.1832,0.89448,-5.03756
909,,152.39038,7.51372,-57.73048
910,,181.60894,8.95484,-103.46373
911,,149.49347,7.37505,-127.26066
912,,55.67247,2.74761,-35.92269
913,,533.70937,26.39766,-339.16705
914,,14.68444,0.7277,23.85172
915,,769.11006,38.16188,945.63384
916,,44.08725,2.18845,159.00305
917,,29.33612,1.45679,17.26673
918,,49.12359,2.44713,21.71156
919,,213.42353,10.63189,-31.39895
920,,81.69101,4.0983,-27.69662
921,,233.05645,11.69433,169.11002
922,,31.01218,1.55939,-36.52294
923,,393.12826,19.77128,-7.71829
924,,336.5435,16.92908,286.77263
925,,130.41728,6.5632,-191.78339
926,,174.83611,8.79991,-120.13419
927,,30.33713,1.52968,-50.37386
928,,157.47862,7.95934,-83.13426
929,,100.63388,5.09145,-5.41829
930,,121.82153,6.16498,-41.05154
931,,45.31395,2.29414,5.66867
932,,123.48891,6.2522,82.40092
933,,19.55637,0.99018,-30.70402
934,,246.24153,12.46838,-21.8666
935,,120.86682,6.12623,-52.95463
936,,35.65725,1.80821,-206.13595
937,,282.73901,14.33949,-91.8157
